Course name,Description,Topics,Instructors,URL,Department
Engineering Mechanics II,"This subject provides an introduction to fluid mechanics. Students are introduced to and become familiar with all relevant physical properties and fundamental laws governing the behavior of fluids and learn how to solve a variety of problems of interest to civil and environmental engineers. While there is a chance to put skills from calculus and differential equations to use in this subject, the emphasis is on physical understanding of why a fluid behaves the way it does. The aim is to make the students think as a fluid. In addition to relating a working knowledge of fluid mechanics, the subject prepares students for higher-level subjects in fluid dynamics.Show less","Engineering, Mechanical Engineering, Fluid Mechanics",Prof. David Gonzalez-Rodriguez Prof. Ole Madsen,https://ocw.mit.edu/courses/1-060-engineering-mechanics-ii-spring-2006/,Civil and Environmental Engineering
Transport Processes in the Environment,"This class serves as an introduction to mass transport in environmental flows, with emphasis given to river and lake systems. The class will cover the derivation and solutions to the differential form of mass conservation equations. Class topics to be covered will include: molecular and turbulent diffusion, boundary layers, dissolution, bed-water exchange, air-water exchange and particle transport.Show less","Engineering, Chemical Engineering, Transport Processes, Environmental Engineering, Aquatic Sciences and Water Quality Control, Hydrology and Water Resource Systems",Prof. Heidi Nepf,https://ocw.mit.edu/courses/1-061-transport-processes-in-the-environment-fall-2008/,Civil and Environmental Engineering
Introduction to Civil and Environmental Engineering Design I,"This sophomore-level course is a project-oriented introduction to the principles and practice of engineering design. Design projects and exercises are chosen that relate to the built and natural environments. Emphasis is placed on achieving function and sustainability through choice of materials and processes, compatibility with natural cycles, and the use of active or adaptive systems. The course also encourages development of hands-on skills, teamwork, and communication; exercises and projects engage students in the building, implementation, and testing of their designs.Show less","Engineering, Civil Engineering, Environmental Engineering",Prof. Harold Hemond Prof. Heidi Nepf Prof. Louis Bucciarelli Sheila Frankel,https://ocw.mit.edu/courses/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2005/,Civil and Environmental Engineering
Introduction to Civil and Environmental Engineering Design I,"This sophomore-level course is a project-oriented introduction to the principles and practice of engineering design. Design projects and exercises are chosen that relate to the built and natural environments. Emphasis is placed on achieving function and sustainability through choice of materials and processes, compatibility with natural cycles, and the use of active or adaptive systems. The course also encourages development of hands-on skills, teamwork, and communication; exercises and projects engage students in the building, implementation, and testing of their designs.Show less","Engineering, Civil Engineering, Environmental Engineering",Prof. Harold Hemond Prof. Heidi Nepf Prof. Louis Bucciarelli Sheila Frankel,https://ocw.mit.edu/courses/1-101-introduction-to-civil-and-environmental-engineering-design-i-fall-2006/,Civil and Environmental Engineering
Civil Engineering Materials Laboratory,"This course introduces the concepts, techniques, and devices used to measure engineering properties of materials. There is an emphasis on measurement of load-deformation characteristics and failure modes of both natural and fabricated materials. Weekly experiments include data collection, data analysis, and interpretation and presentation of results.Show less","Engineering, Civil Engineering, Materials Science and Engineering",Dr. John Germaine,https://ocw.mit.edu/courses/1-103-civil-engineering-materials-laboratory-spring-2004/,Civil and Environmental Engineering
Solid Mechanics Laboratory,"This course introduces students to basic properties of structural materials and behavior of simple structural elements and systems through a series of experiments. Students learn experimental technique, data collection, reduction and analysis, and presentation of results. Students generally take this subject during the same semester as 1.050, Solid Mechanics.Show less","Engineering, Civil Engineering, Structural Engineering, Mechanical Engineering, Solid Mechanics",Prof. Louis Bucciarelli,https://ocw.mit.edu/courses/1-105-solid-mechanics-laboratory-fall-2003/,Civil and Environmental Engineering
Foundations of Software Engineering,"This is a foundation subject in modern software development techniques for engineering and information technology. The design and development of component-based software (using C# and .NET) is covered; data structures and algorithms for modeling, analysis, and visualization; basic problem-solving techniques; web services; and the management and maintenance of software. Includes a treatment of topics such as sorting and searching algorithms; and numerical simulation techniques. Foundation for in-depth exploration of image processing, computational geometry, finite element methods, network methods and e-business applications. This course is a core requirement for the Information Technology M. Eng. program.","Engineering, Computer Science, Software Design and Engineering",Prof. Kevin Amaratunga,https://ocw.mit.edu/courses/1-124j-foundations-of-software-engineering-fall-2000/,"Civil and Environmental Engineering
Mechanical Engineering"
Masters of Engineering Concepts of Engineering Practice,"This course is a core requirement for the Masters in Engineering program, designed to teach students about the roles of today’s professional engineer and expose them to team-building skills through lectures, team workshops, and seminars. Topics include: written and oral communication, job placement skills, trends in the engineering and construction industry, risk analysis and risk management, managing public information, proposal preparation, project evaluation, project management, liability, professional ethics, and negotiation. The course draws on relevant large-scale projects to illustrate each component of the subject.Show less","Business, Project Management, Engineering",Dr. Eric Adams,https://ocw.mit.edu/courses/1-133-masters-of-engineering-concepts-of-engineering-practice-fall-2007/,Civil and Environmental Engineering
Probability and Statistics in Engineering,"This class covers quantitative analysis of uncertainty and risk for engineering applications. Fundamentals of probability, random processes, statistics, and decision analysis are covered, along with random variables and vectors, uncertainty propagation, conditional distributions, and second-moment analysis. System reliability is introduced. Other topics covered include Bayesian analysis and risk-based decision, estimation of distribution parameters, hypothesis testing, simple and multiple linear regressions, and Poisson and Markov processes. There is an emphasis placed on real-world applications to engineering problems.Show less","Engineering, Mathematics",Prof. Daniele Veneziano,https://ocw.mit.edu/courses/1-151-probability-and-statistics-in-engineering-spring-2005/,Civil and Environmental Engineering
Introduction to Transportation Systems,"1.201J/11.545J/ESD.210J is required for all first-year Master of Science in Transportation students. It would be of interest to, as well as accessible to, students in Urban Studies and Planning, Political Science, Technology and Policy, Management, and various engineering departments. It is a good subject for those who plan to take only one subject in transportation and serves as an entry point to other transportation subjects as well.","Social Science, Urban Studies, Transportation Planning",Prof. Joseph Sussman Prof. Nigel Wilson,https://ocw.mit.edu/courses/1-201j-introduction-to-transportation-systems-fall-2006/,"Civil and Environmental Engineering
Urban Studies and Planning
Engineering Systems Division"
Transportation Systems Analysis: Demand and Economics,"The main objective of this course is to give broad insight into the different facets of transportation systems, while providing a solid introduction to transportation demand and cost analyses. As part of the core in the Master of Science in Transportation program, the course will not focus on a specific transportation mode but will use the various modes to apply the theoretical and analytical concepts presented in the lectures and readings.","Engineering, Civil Engineering, Transportation Engineering, Social Science",Michael Frumin Prof. Moshe Ben-Akiva,https://ocw.mit.edu/courses/1-201j-transportation-systems-analysis-demand-and-economics-fall-2008/,"Civil and Environmental Engineering
Urban Studies and Planning
Engineering Systems Division"
Logistical and Transportation Planning Methods,"The class will cover quantitative techniques of Operations Research with emphasis on applications in transportation systems analysis (urban, air, ocean, highway, pick-up and delivery systems) and in the planning and design of logistically oriented urban service systems (e.g., fire and police departments, emergency medical services, emergency repair services). It presents a unified study of functions of random variables, geometrical probability, multi-server queueing theory, spatial location theory, network analysis and graph theory, and relevant methods of simulation. There will be discussion focused on the difficulty of implementation, among other topics.Show less","Engineering, Systems Engineering, Systems Optimization, Mathematics, Social Science",Richard C. Larson Prof. Amedeo R. Odoni Prof. Arnold Barnett,https://ocw.mit.edu/courses/1-203j-logistical-and-transportation-planning-methods-fall-2006/,"Civil and Environmental Engineering
Electrical Engineering and Computer Science
Sloan School of Management"
Computer Algorithms in Systems Engineering,"This course covers concepts of computation used in analysis of engineering systems. It includes the following topics: data structures, relational database representations of engineering data, algorithms for the solution and optimization of engineering system designs (greedy, dynamic programming, branch and bound, graph algorithms, nonlinear optimization), and introduction to complexity analysis. Object-oriented, efficient implementations of algorithms are emphasized.Show less","Engineering, Computer Science, Algorithms and Data Structures, Systems Engineering",Dr. George Kocur,https://ocw.mit.edu/courses/1-204-computer-algorithms-in-systems-engineering-spring-2010/,Civil and Environmental Engineering
Airline Schedule Planning,"Explores a variety of models and optimization techniques for the solution of airline schedule planning and operations problems. Schedule design, fleet assignment, aircraft maintenance routing, crew scheduling, passenger mix, and other topics are covered. Recent models and algorithms addressing issues of model integration, robustness, and operations recovery are introduced. Modeling and solution techniques designed specifically for large-scale problems, and state-of-the-art applications of these techniques to airline problems are detailed.Show less","Engineering, Systems Engineering, Systems Optimization, Social Science",Prof. Cynthia Barnhart,https://ocw.mit.edu/courses/1-206j-airline-schedule-planning-spring-2003/,"Civil and Environmental Engineering
Aeronautics and Astronautics
Engineering Systems Division"
An Introduction to Intelligent Transportation Systems,"Intelligent Transportation Systems (ITS) represent a major transition in transportation on many dimensions. This course considers ITS as a lens through which one can view many transportation and societal issues. ITS is an international program intended to improve the effectiveness and efficiency of surface transportation systems through advanced technologies in information systems, communications, and sensors. In the United States, ITS represents the major post-Interstate-era program for advancing surface transportation in highways and public transportation, and is potentially comparable to the air traffic control system in impact. The readings for the class come primarily from the instructor’s own text: Sussman, Joseph. Perspectives on Intelligent Transportation Systems (ITS). New York, NY: Springer, 2005. ISBN: 0387232575.Show less","Engineering, Civil Engineering, Transportation Engineering, Social Science",Prof. Joseph Sussman,https://ocw.mit.edu/courses/1-212j-an-introduction-to-intelligent-transportation-systems-spring-2005/,"Civil and Environmental Engineering
Engineering Systems Division"
Transportation Systems,"Approaching transportation as a complex, large-scale, integrated, open system (CLIOS), this course strives to be an interdisciplinary systems subject in the “open” sense. It introduces qualitative modeling ideas and various techniques and philosophies of modeling complex transportation enterprises. It also introduces conceptual frameworks for qualitative analysis, such as frameworks for regional strategic planning, institutional change analysis, and new technology development and deployment. And it covers transportation as a large-scale, integrated system that interacts directly with the social, political, and economic aspects of contemporary society. Fundamental elements and issues shaping traveler and freight transportation systems are covered, along with underlying principles governing transportation planning, investment, operations, and maintenance.Show less","Engineering, Civil Engineering, Transportation Engineering, Social Science",Prof. Joseph Sussman,https://ocw.mit.edu/courses/1-221j-transportation-systems-fall-2004/,"Civil and Environmental Engineering
Urban Studies and Planning
Engineering Systems Division"
"Transportation Policy, Strategy, and Management","This class surveys the current concepts, theories, and issues in strategic management of transportation organizations. It provides transportation logistics and engineering systems students with an overview of the operating context, leadership challenges, strategies, and management tools that are used in today’s public and private transportation organizations. The following concepts, tools, and issues are presented in both public and private sector cases: alternative models of decision-making, strategic planning (e.g., use of SWOT analysis and scenario development), stakeholder valuation and analysis, government-based regulation and cooperation within the transportation enterprise, disaster communications, systems safety, change management, and the impact of globalization.Show less","Business, Operations Management, Social Science",Prof. Joseph Coughlin,https://ocw.mit.edu/courses/1-223j-transportation-policy-strategy-and-management-fall-2004/,"Civil and Environmental Engineering
Engineering Systems Division"
Carrier Systems,"Carrier systems involve the design, operation and management of transportation networks, assets, personnel, freight and passengers. In this course, we will present models and tools for analyzing, optimizing, planning, managing and controlling carrier systems.","Business, Operations Management, Engineering, Social Science",Prof. Cynthia Barnhart Prof. Nigel Wilson,https://ocw.mit.edu/courses/1-224j-carrier-systems-fall-2003/,"Civil and Environmental Engineering
Engineering Systems Division"
Transportation Flow Systems,"Design, operation, and management of traffic flows over complex transportation networks are the foci of this course. It covers two major topics: traffic flow modeling and traffic flow operations. Sub-topics include deterministic and probabilistic models, elements of queuing theory, and traffic assignment. Concepts are illustrated through various applications and case studies. This is a half-term subject offered during the second half of the semester.Show less","Engineering, Civil Engineering, Transportation Engineering, Systems Engineering, Computational Modeling and Simulation, Social Science",Prof. Ismail Chabini Prof. Amedeo R. Odoni,https://ocw.mit.edu/courses/1-225j-transportation-flow-systems-fall-2002/,"Civil and Environmental Engineering
Engineering Systems Division"
Urban Transportation Planning,"This course examines the policy, politics, planning, and engineering of transportation systems in urban areas, with a special focus on the Boston area. It covers the role of the federal, state, and local government and the MPO, public transit in the era of the automobile, analysis of current trends and pattern breaks; analytical tools for transportation planning, traffic engineering, and policy analysis; the contribution of transportation to air pollution, social costs, and climate change; land use and transportation interactions, and more. Transportation sustainability is a central theme throughout the course, as well as consideration of if and how it is possible to resolve the tension between the three E’s (environment, economy, and equity). The goal of this course is to elicit discussion, stimulate independent thinking, and encourage students to understand and challenge the “conventional wisdom” of transportation planning.Show less","Engineering, Civil Engineering, Transportation Engineering, Social Science",Frederick Salvucci,https://ocw.mit.edu/courses/1-252j-urban-transportation-planning-fall-2016/,"Civil and Environmental Engineering
Urban Studies and Planning"
Transportation Policy and Environmental Limits,"Through a combination of lectures, cases, and class discussions this subject examines the economic and political conflict between transportation and the environment. It investigates the role of government regulation, green business and transportation policy as facilitators of economic development and environmental sustainability. It analyzes a variety of international policy problems including government-business relations; the role of interest groups, non-governmental organizations, and the public and media in the regulation of the automobile; sustainable development; global warming; the politics of risk and siting of transport facilities; environmental justice; equity; and transportation and public health in the urban metropolis. It provides students with an opportunity to apply transportation and planning methods to developing policy alternatives in the context of environmental politics.Show less","Engineering, Civil Engineering, Transportation Engineering, Environmental Engineering, Science, Social Science",Frederick Salvucci Prof. Joseph Coughlin,https://ocw.mit.edu/courses/1-253j-transportation-policy-and-environmental-limits-spring-2004/,"Civil and Environmental Engineering
Urban Studies and Planning
Engineering Systems Division"
Public Transportation Systems,"This course discusses the evolution and role of urban public transportation modes, systems, and services, focusing on bus and rail. It covers various topics, including current practice and new methods for data collection and analysis, performance monitoring, route design, frequency determination, vehicle and crew scheduling, effect of pricing policy and service quality on ridership.Show less","Engineering, Civil Engineering, Transportation Engineering, Social Science",Prof. Nigel Wilson Dr. Gabriel E. Sanchez-Martinez Dr. Neema Nassir,https://ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017/,"Civil and Environmental Engineering
Urban Studies and Planning"
Transit Management,"This course discusses management methods of relevance to public transportation systems. Topics include strategic planning management, labor relations, maintenance planning and administration, financing, marketing and fare policy, and management information and decision support systems. The course shows how these general management tasks are dealt with in the transit industry and presents alternative strategies. It also identifies alternative arrangements for service provision, including different ways of involving the private sector in public transportation.Show less","Business, Operations Management, Social Science",Prof. Nigel Wilson,https://ocw.mit.edu/courses/1-259j-transit-management-fall-2006/,"Civil and Environmental Engineering
Urban Studies and Planning
Engineering Systems Division"
"Database, Internet, and Systems Integration Technologies","This course addresses information technology fundamentals, including project management and software processes, data modeling, UML, relational databases and SQL. Topics covered include internet technologies, such as XML, web services, and service-oriented architectures. This course provides an introduction to security and presents the fundamentals of telecommunications and includes a project that involves requirements / design, data model, database implementation, website, security and data network. No prior programming experience required.Show less","Business, Information Technology, Engineering",Dr. George Kocur,https://ocw.mit.edu/courses/1-264j-database-internet-and-systems-integration-technologies-fall-2013/,"Civil and Environmental Engineering
Engineering Systems Division"
Soil Behavior,"This class presents a detailed study of soil properties with emphasis on interpretation of field and laboratory test data and their use in soft-ground construction engineering. Topics to be covered include: consolidation and secondary compression; basic strength principles; stress-strain strength behavior of clays, emphasizing effects of sample disturbance, anisotropy, and strain rate; strength and compression of granular soils; and engineering properties of compacted soils. Some knowledge of field and laboratory testing is assumed for all students.Show less","Engineering, Civil Engineering, Geotechnical Engineering, Science",Prof. Charles Ladd Dr. Lucy C. Jen Prof. Andrew Whittle,https://ocw.mit.edu/courses/1-322-soil-behavior-spring-2005/,Civil and Environmental Engineering
Waste Containment and Remediation Technology,"1.34 focuses on the geotechnical aspects of hazardous waste management, with specific emphasis on the design of land-based waste containment structures and hazardous waste remediation. Topics include: introduction to hazardous waste, definition of hazardous waste, regulatory requirements, waste characteristics, geo-chemistry, and contaminant transport; the design and operation of waste containment structures, landfills, impoundments, and mine-waste disposal; the characterization and remediation of contaminated sites, the superfund law, preliminary site assessment, site investigation techniques, and remediation technologies; and monitoring requirements.Show less","Engineering, Civil Engineering, Geotechnical Engineering, Environmental Engineering, Environmental Management",Dr. Peter Shanahan,https://ocw.mit.edu/courses/1-34-waste-containment-and-remediation-technology-spring-2004/,Civil and Environmental Engineering
Advanced Soil Mechanics,This class presents the application of principles of soil mechanics. It considers the following topics: the origin and nature of soils; soil classification; the effective stress principle; hydraulic conductivity and seepage; stress-strain-strength behavior of cohesionless and cohesive soils and application to lateral earth stresses; bearing capacity and slope stability; consolidation theory and settlement analysis; and laboratory and field methods for evaluation of soil properties in design practice.Show less,"Engineering, Civil Engineering, Geotechnical Engineering, Science",Prof. Charles Ladd Dr. Lucy C. Jen,https://ocw.mit.edu/courses/1-361-advanced-soil-mechanics-fall-2004/,Civil and Environmental Engineering
Advanced Geotechnical Engineering,"1.364 examines site characterization and geotechnical aspects of the design and construction of foundation systems. Topics include: site investigation (with emphasis on in situ testing), shallow (footings and raftings) and deep (piles and caissons) foundations, excavation support systems, groundwater control, slope stability, soil improvement (compaction, soil reinforcement, etc.), and construction monitoring. This course is a core requirement for the Geotechnical Master of Engineering program at MIT.Show less","Engineering, Civil Engineering, Geotechnical Engineering, Structural Engineering",Prof. Andrew Whittle,https://ocw.mit.edu/courses/1-364-advanced-geotechnical-engineering-fall-2003/,Civil and Environmental Engineering
Strategic Management in the Design and Construction Value Chain,"This course provides an overview of key concepts in strategic management in the construction, real estate, and architecture industries. Topics include supply chain analysis, market segmentation, vertical integration, competitive advantage, and industry transformation. This course is of interest to students seeking more understanding of the business dynamics of real estate and construction; seeking to provide value in firms which they may join; or seeking to build a foundation for their own entrepreneurial pursuits.Show less","Business, Operations Management, Supply Chain Management, Engineering",Dr. John Macomber,https://ocw.mit.edu/courses/1-46-strategic-management-in-the-design-and-construction-value-chain-fall-2003/,Civil and Environmental Engineering
The Impact of Globalization on the Built Environment,"The course is designed to provide a better understanding of the built environment, globalization, the current financial crisis and the impact of these factors on the rapidly changing and evolving international architecture, engineering, construction fields.","Business, Globalization, Engineering",Mr. Derish M. Wolff Prof. Fred Moavenzadeh,https://ocw.mit.edu/courses/1-463j-the-impact-of-globalization-on-the-built-environment-fall-2009/,"Civil and Environmental Engineering
Urban Studies and Planning
Engineering Systems Division"
E-Commerce and the Internet in Real Estate and Construction,"1.464 examines the long term effects of information technology on business strategy in the real estate and construction industry. Considerations include: supply chain, allocation of risk, impact on contract obligations and security, trends toward consolidation, and the convergence of information transparency and personal effectiveness. Resources are drawn from the world of dot.com entrepreneurship and “old economy” responses.Show less","Business, Information Technology, Operations Management, Real Estate",Dr. John Macomber,https://ocw.mit.edu/courses/1-464-e-commerce-and-the-internet-in-real-estate-and-construction-spring-2004/,Civil and Environmental Engineering
Motion Based Design,"This course presents a rational basis for the preliminary design of motion-sensitive structures. Topics covered include: analytical and numerical techniques for establishing the optimal stiffness distribution, the role of damping in controlling motion, tuned mass dampers, base isolation systems, and active structural control. Examples illustrating the application of the motion-based design paradigm to building structures subjected to seismic excitation are discussed.Show less","Engineering, Civil Engineering, Structural Engineering, Fine Arts",Prof. Jerome Connor,https://ocw.mit.edu/courses/1-561-motion-based-design-fall-2003/,Civil and Environmental Engineering
Structural Analysis and Control,"This course uses computer-based methods for the analysis of large-scale structural systems. Topics covered include: modeling strategies for complex structures; application to tall buildings, cable-stayed bridges, and tension structures; introduction to the theory of active structural control; design of classical feedback control systems for civil structures; and simulation studies using customized computer software.Show less","Engineering, Civil Engineering, Structural Engineering, Systems Engineering, Computational Modeling and Simulation",Prof. Jerome Connor,https://ocw.mit.edu/courses/1-571-structural-analysis-and-control-spring-2004/,Civil and Environmental Engineering
Advanced Fluid Dynamics of the Environment,"Designed to familiarize students with theories and analytical tools useful for studying research literature, this course is a survey of fluid mechanical problems in the water environment. Because of the inherent nonlinearities in the governing equations, we shall emphasize the art of making analytical approximations not only for facilitating calculations but also for gaining deeper physical insight. The importance of scales will be discussed throughout the course in lectures and homeworks. Mathematical techniques beyond the usual preparation of first-year graduate students will be introduced as a part of the course. Topics vary from year to year.Show less","Engineering, Environmental Engineering, Hydrodynamics and Coastal Engineering, Mechanical Engineering, Fluid Mechanics, Ocean Engineering, Hydrodynamics",Prof. Chiang Mei Guangda Li,https://ocw.mit.edu/courses/1-63-advanced-fluid-dynamics-of-the-environment-fall-2002/,Civil and Environmental Engineering
